,Term,Category
12321,Uspesifisert hudsoppsykdom,CONDITION
12322,Andre overfladiske soppsykdommer ,CONDITION
12323,Tinea nigra,CONDITION
12324,Tinea blanca,CONDITION
12325,Svart piedra,CONDITION
12326,Annen spesifisert overfladisk soppsykdom,CONDITION
12327,Uspesifisert overfladisk soppsykdom,CONDITION
12328,Candidainfeksjon,CONDITION
12329,Candidastomatitt,CONDITION
12330,Candidainfeksjon i lunge,CONDITION
12331,Candidainfeksjon på hud eller negl,CONDITION
12332,Candidainfeksjon i ytre kvinnelige kjønnsorganer eller skjede,CONDITION
12333,Candidainfeksjon med annen lokalisasjon i kjønnsorganer eller urinveier,CONDITION
12334,Candidameningitt,CONDITION
12335,Candidaendokarditt,CONDITION
12336,Candidasepsis,CONDITION
12337,Candidainfeksjon med annen spesifisert lokalisasjon,CONDITION
12338,Uspesifisert candidainfeksjon,CONDITION
12339,Koksidioidomykose (coccidioidomycosis),CONDITION
12340,Akutt pulmonal koksidioidomykose,CONDITION
12341,Kronisk pulmonal koksidioidomykose,CONDITION
12342,Uspesifisert pulmonal koksidioidomykose,CONDITION
12343,Kutan koksidioidomykose,CONDITION
12344,Koksidioidomykosemeningitt,CONDITION
12345,Disseminert koksidioidomykose,CONDITION
12346,Annen spesifisert form for koksidioidomykose,CONDITION
12347,Uspesifisert koksidioidomykose,CONDITION
12348,Histoplasmose (histoplasmosis),CONDITION
12349,Akutt pulmonal histoplasmose,CONDITION
12350,Kronisk pulmonal histoplasmose,CONDITION
12351,Uspesifisert pulmonal histoplasmose,CONDITION
12352,Disseminert histoplasmose,CONDITION
12353,Uspesifisert histoplasmose som skyldes Histoplasma capsulatum,CONDITION
12354,Histoplasmose som skyldes Histoplasma duboisii,CONDITION
12355,Uspesifisert histoplasmose,CONDITION
12356,Blastomykose (blastomycosis),CONDITION
12357,Akutt pulmonal blastomykose,CONDITION
12358,Kronisk pulmonal blastomykose,CONDITION
12359,Uspesifisert pulmonal blastomykose,CONDITION
12360,Kutan blastomykose,CONDITION
12361,Disseminert blastomykose,CONDITION
12362,Annen spesifisert form for blastomykose,CONDITION
12363,Uspesifisert blastomykose,CONDITION
12364,Parakoksidioidomykose (paracoccidioidomycosis),CONDITION
12365,Pulmonal parakoksidioidomykose,CONDITION
12366,Disseminert parakoksidioidomykose,CONDITION
12367,Annen spesifisert form for parakoksidioidomykose,CONDITION
12368,Uspesifisert parakoksidioidomykose,CONDITION
12369,Sporotrikose (sporotrichosis),CONDITION
12370,Pulmonal sporotrikose,CONDITION
12371,Lymfokutan sporotrikose,CONDITION
12372,Disseminert sporotrikose,CONDITION
12373,Annen spesifisert form for sporotrikose,CONDITION
12374,Uspesifisert sporotrikose,CONDITION
12375,Kromomykose (chromomycosis) og feomykotisk abscess,CONDITION
12376,Kutan kromomykose,CONDITION
12377,Feomykotisk hjerneabscess,CONDITION
12378,Subkutan feomykotisk abscess eller cyste,CONDITION
12379,Annen spesifisert form for kromomykose,CONDITION
12380,Uspesifisert kromomykose,CONDITION
12381,Aspergillose (aspergillosis),CONDITION
12382,Invasiv pulmonal aspergillose,CONDITION
12383,Annen pulmonal aspergillose,CONDITION
12384,Tonsillær aspergillose,CONDITION
12385,Disseminert aspergillose,CONDITION
12386,Annen spesifisert form for aspergillose,CONDITION
12387,Uspesifisert aspergillose,CONDITION
12388,Kryptokokkose (cryptococcosis),CONDITION
12389,Pulmonal kryptokokkose,CONDITION
12390,Cerebral kryptokokkose,CONDITION
12391,Kutan kryptokokkose,CONDITION
12392,Ossøs kryptokokkose,CONDITION
12393,Disseminert kryptokokkose,CONDITION
12394,Annen spesifisert form for kryptokokkose,CONDITION
12395,Uspesifisert kryptokokkose,CONDITION
12396,Zygomykose (zygomycosis),CONDITION
12397,Pulmonal mucormykose,CONDITION
12398,Rinocerebral mucormykose,CONDITION
12399,Gastrointestinal mucormykose,CONDITION
12400,Kutan mucormykose,CONDITION
12401,Disseminert mucormykose,CONDITION
12402,Uspesifisert mucormykose,CONDITION
12403,Annen spesifisert zygomykose,CONDITION
12404,Uspesifisert zygomykose,CONDITION
12405,Eumycetom,CONDITION
12406,Aktinomycetom,CONDITION
12407,Uspesifisert mycetom,CONDITION
12408,"Andre soppsykdommer , ikke klassifisert annet sted",CONDITION
12409,Lobomykose,CONDITION
12410,Rinosporidiose,CONDITION
12411,Allescheriasis,CONDITION
12412,Geotrikose,CONDITION
12413,Penicilliose,CONDITION
12414,Opportunistisk soppsykdom,CONDITION
12415,Annen spesifisert soppsykdom,CONDITION
12416,Uspesifisert soppsykdom,CONDITION
12417,Malaria som skyldes Plasmodium falciparum,CONDITION
12418,"Malaria som skyldes Plasmodium falciparum, med hjernekomplikasjoner",CONDITION
12419,Annen spesifisert alvorlig eller komplisert malaria som skyldes Plasmodium falciparum,CONDITION
12420,Uspesifisert malaria som skyldes Plasmodium falciparum,CONDITION
12421,Malaria som skyldes Plasmodium vivax,CONDITION
12422,"Malaria som skyldes Plasmodium vivax, med miltruptur",CONDITION
12423,"Malaria som skyldes Plasmodium vivax, med annen komplikasjon",CONDITION
12424,"Malaria som skyldes Plasmodium vivax, uten komplikasjoner",CONDITION
12425,Malaria som skyldes Plasmodium malariae,CONDITION
12426,"Malaria som skyldes Plasmodium malariae, med nefropati",CONDITION
12427,"Malaria som skyldes Plasmodium malariae, med annen komplikasjon",CONDITION
12428,"Malaria som skyldes Plasmodium malariae, uten komplikasjoner",CONDITION
12429,Annen parasittologisk bekreftet malaria,CONDITION
12430,Malaria som skyldes Plasmodium ovale,CONDITION
12431,Apeplasmodiamalaria,CONDITION
12432,"Annen spesifisert parasittologisk bekreftet malaria, ikke klassifisert annet sted",CONDITION
12433,Uspesifisert malaria,CONDITION
12434,Visceral leishmaniasis,CONDITION
12435,Kutan leishmaniasis,CONDITION
12436,Mukokutan leishmaniasis,CONDITION
12437,Uspesifisert leishmaniasis,CONDITION
12438,Afrikansk trypanosomiasis (trypanosomiasis africana),CONDITION
12439,Trypanosomiasis gambiensis,CONDITION
12440,Trypanosomiasis rhodesiensis,CONDITION
12441,Uspesifisert afrikansk trypanosomiasis,CONDITION
12442,Chagas sykdom (trypanosomiasis americana),CONDITION
12443,Akutt Chagas sykdom med hjerteaffeksjon,CONDITION
12444,Akutt Chagas sykdom uten hjerteaffeksjon,CONDITION
12445,Kronisk eller uspesifisert Chagas sykdom med hjerteaffeksjon,CONDITION
12446,Kronisk eller uspesifisert Chagas sykdom med affeksjon av fordøyelsessystemet,CONDITION
12447,Kronisk eller uspesifisert Chagas sykdom med affeksjon av nervesystemet,CONDITION
12448,Kronisk eller uspesifisert Chagas sykdom med affeksjon av annet organ,CONDITION
12449,Toksoplasmaokulopati,CONDITION
12450,Toksoplasmahepatitt,CONDITION
12451,Toksoplasmameningoencefalitt,CONDITION
12452,Pulmonal toksoplasmose,CONDITION
12453,Toksoplasmose med annen spesifisert organaffeksjon,CONDITION
12454,Uspesifisert toksoplasmose,CONDITION
12455,Pneumocystose ,CONDITION
12456,"Andre protozosykdommer, ikke klassifisert annet sted",CONDITION
12457,Akantamøbeinfeksjon,CONDITION
12458,Naegleriainfeksjon,CONDITION
12459,Annen spesifisert protozosykdom,CONDITION
12460,Uspesifisert protozosykdom,CONDITION
12461,Schistosomiasis ,CONDITION
12462,Schistosomiasis som skyldes Schistosoma haematobium,CONDITION
12463,Schistosomiasis som skyldes Schistosoma mansoni,CONDITION
12464,Schistosomiasis som skyldes Schistosoma japonicum,CONDITION
12465,Cerkariedermatitt,CONDITION
12466,Annen spesifisert schistosomiasis,CONDITION
12467,Uspesifisert schistosomiasis,CONDITION
12468,Andre ikteinfeksjoner,CONDITION
12469,Opisthorchiasis,CONDITION
12470,Clonorchiasis,CONDITION
12471,Dicrocoeliasis,CONDITION
12472,Fascioliasis,CONDITION
12473,Fasciolopsiasis,CONDITION
12474,Annen spesifisert ikteinfeksjon,CONDITION
12475,Uspesifisert ikteinfeksjon,CONDITION
12476,Ekinokokkose (echinococcosis),CONDITION
12477,"Infeksjon i lever, som skyldes Echinococcus granulosus",CONDITION
12478,"Infeksjon i lunge, som skyldes Echinococcus granulosus",CONDITION
12479,"Infeksjon i ben, som skyldes Echinococcus granulosus",CONDITION
12480,"Infeksjon med annen eller multippel lokalisasjon, som skyldes Echinococcus granulosus",CONDITION
12481,Uspesifisert infeksjon som skyldes Echinococcus granulosus,CONDITION
12482,"Infeksjon i lever, som skyldes Echinococcus multilocularis",CONDITION
12483,"Infeksjon med annen eller multippel lokalisasjon, som skyldes Echinococcus multilocularis",CONDITION
12484,Uspesifisert infeksjon som skyldes Echinococcus multilocularis,CONDITION
12485,Uspesifisert ekinokokkose i lever,CONDITION
12486,Annen eller uspesifisert ekinokokkose,CONDITION
12487,Taeniasis som skyldes Taenia solium,CONDITION
12488,Taeniasis som skyldes Taenia saginata,CONDITION
12489,Uspesifisert taeniasis,CONDITION
12490,Cysticerkose ,CONDITION
12491,Cysticerkose i sentralnervesystemet,CONDITION
12492,Cysticerkose i øye,CONDITION
12493,Cysticerkose med annen spesifisert lokalisasjon,CONDITION
12494,Uspesifisert cysticerkose,CONDITION
12495,Diphyllobothriasis og sparganose,CONDITION
12496,Diphyllobothriasis,CONDITION
12497,Sparganose,CONDITION
12498,Andre bendelorminfeksjoner ,CONDITION
12499,Hymenolepiasis,CONDITION
12500,Dipylidiasis,CONDITION
12501,Annen spesifisert bendelorminfeksjon,CONDITION
12502,Uspesifisert bendelorminfeksjon,CONDITION
12503,Onkocerkiasis (onchocerciasis),CONDITION
12504,Filariasis som skyldes Wuchereria bancrofti,CONDITION
12505,Filariasis som skyldes Brugia malayi,CONDITION
12506,Filariasis som skyldes Brugia timori,CONDITION
12507,Mansonelliasis,CONDITION
12508,Annen spesifisert filariasis,CONDITION
12509,Uspesifisert filariasis,CONDITION
12510,Trikinose (trichinosis),CONDITION
12511,Hakeormsykdommer,CONDITION
12512,Necatoriasis,CONDITION
12513,Annen spesifisert hakeormsykdom,CONDITION
12514,Uspesifisert hakeormsykdom,CONDITION
12515,Askariasis (ascariasis),CONDITION
12516,Askariasis med tarmkomplikasjon,CONDITION
12517,Askariasis med annen spesifisert komplikasjon,CONDITION
12518,Uspesifisert askariasis,CONDITION
12519,Strongyloidiasis i tarmkanalen,CONDITION
12520,Kutan strongyloidiasis,CONDITION
12521,Disseminert strongyloidiasis,CONDITION
12522,Uspesifisert strongyloidiasis,CONDITION
12523,Trikuriasis,CONDITION
12524,Barneorminfeksjon (oxyuriasis),CONDITION
12525,"Andre ormesykdommer i tarm, ikke klassifisert annet sted",CONDITION
12526,Anisakiasis,CONDITION
12527,Capillariasis i tarmkanalen,CONDITION
12528,Trichostrongyliasis,CONDITION
12529,Angiostrongyliasis i tarmkanalen,CONDITION
12530,Blandet ormesykdom i tarm,CONDITION
12531,Annen spesifisert ormesykdom i tarm,CONDITION
12532,Uspesifisert parasittisme i tarm,CONDITION
12533,Uspesifisert ormesykdom i tarm,CONDITION
12534,Andre ormesykdommer,CONDITION
12535,Visceral larva migrans,CONDITION
12536,Gnathostomiasis,CONDITION
12537,Angiostrongyliasis som skyldes Parastrongylus cantonensis,CONDITION
12538,Syngamiasis,CONDITION
12539,Innvendig hirudiniasis,CONDITION
12540,Annen spesifisert ormesykdom,CONDITION
12541,Uspesifisert ormesykdom,CONDITION
12542,Pedikulose og ftiriasis ,CONDITION
12543,Pedikulose som skyldes Pediculus humanus capitis,CONDITION
12544,Pedikulose som skyldes Pediculus humanus corporis,CONDITION
12545,Uspesifisert pedikulose,CONDITION
12546,Blandet pedikulose og ftiriasis,CONDITION
12547,Kutan myiasis,CONDITION
12548,Myiasis i sår,CONDITION
12549,Okulær myiasis,CONDITION
12550,Nasofaryngeal myiasis,CONDITION
12551,Myiasis i øre,CONDITION
12552,Myiasis med annen spesifisert lokalisasjon,CONDITION
12553,Uspesifisert myiasis,CONDITION
12554,Andre infestasjoner ,CONDITION
12555,Annen middsykdom,CONDITION
12556,Tungiasis,CONDITION
12557,Annen artropodeinfestasjon,CONDITION
12558,Utvendig hirudiniasis,CONDITION
12559,Annen spesifisert infestasjon,CONDITION
12560,Uspesifisert infestasjon,CONDITION
12561,Uspesifisert parasittsykdom,CONDITION
12562,Følgetilstander  etter tuberkulose,CONDITION
12563,Følgetilstand etter tuberkulose i sentralnervesystemet,CONDITION
12564,Følgetilstand etter tuberkulose i kjønnsorganer eller urinveier,CONDITION
12565,Følgetilstand etter tuberkulose i ben eller ledd,CONDITION
12566,Følgetilstand etter tuberkulose i annet spesifisert organ,CONDITION
12567,Følgetilstand etter tuberkulose i åndedrettsorgan eller uspesifisert tuberkulose,CONDITION
12568,Følgetilstander  etter poliomyelitt,CONDITION
12569,Følgetilstander  etter lepra,CONDITION
12570,Følgetilstander etter andre og uspesifiserte infeksjonssykdommer og parasittsykdommer,CONDITION
12571,Følgetilstand etter trakom,CONDITION
12572,Følgetilstand etter virusencefalitt,CONDITION
12573,Følgetilstand etter virushepatitt,CONDITION
12574,Følgetilstand etter annen spesifisert infeksjonssykdom eller parasittsykdom,CONDITION
12575,Følgetilstand etter uspesifisert infeksjonssykdom eller parasittsykdom,CONDITION
12576,Streptokokker  og stafylokokker  som årsak til sykdommer klassifisert i andre kapitler,CONDITION
12577,"Streptokokk serogruppe A, som årsak til sykdom klassifisert i annet kapittel",CONDITION
12578,"Streptokokk serogruppe B, som årsak til sykdom klassifisert i annet kapittel",CONDITION
12579,"Streptokokker, serogruppe D, og enterokokker som årsak til sykdommer klassifisert i andre kapitler",CONDITION
12580,Streptococcus pneumoniae som årsak til sykdom klassifisert i annet kapittel,CONDITION
12581,Annen spesifisert streptokokk som årsak til sykdom klassifisert i annet kapittel,CONDITION
12582,Uspesifisert streptokokk som årsak til sykdom klassifisert i annet kapittel,CONDITION
12583,Staphylococcus aureus som årsak til sykdom klassifisert i annet kapittel,CONDITION
12584,Annen spesifisert stafylokokk som årsak til sykdom klassifisert i annet kapittel,CONDITION
12585,Uspesifisert stafylokokk som årsak til sykdom klassifisert i annet kapittel,CONDITION
12586,Andre spesifiserte bakterier som årsak til sykdommer klassifisert i andre kapitler,CONDITION
12587,Mycoplasma pneumoniae som årsak til sykdom klassifisert i annet kapittel,CONDITION
12588,Klebisella pneumoniae som årsak til sykdom klassifisert i annet kapittel,CONDITION
12589,Escherichia coli som årsak til sykdom klassifisert i annet kapittel,CONDITION
12590,Haemophilus influenzae som årsak til sykdom klassifisert i annet kapittel,CONDITION
12591,Mikroorganisme fra Proteusgruppen som årsak til sykdom klassifisert i annet kapittel,CONDITION
12592,"Pseudomonas aeruginosa, mallei eller pseudomallei som årsak til sykdom klassifisert i annet kapittel",CONDITION
12593,Bacillus fragilis som årsak til sykdom klassifisert i annet kapittel,CONDITION
12594,Clostridium perfringens som årsak til sykdom klassifisert i annet kapittel,CONDITION
12595,Annen spesifisert bakterie som årsak til sykdom klassifisert i annet kapittel,CONDITION
12596,Virus som årsak til sykdommer klassifisert i andre kapitler,CONDITION
12597,Adenovirus som årsak til sykdom klassifisert i annet kapittel,CONDITION
12598,Enterovirus som årsak til sykdom klassifisert i annet kapittel,CONDITION
12599,Coronavirus som årsak til sykdom klassifisert i annet kapittel,CONDITION
12600,Retrovirus som årsak til sykdom klassifisert i annet kapittel,CONDITION
12601,Respiratorisk syncytialt virus som årsak til sykdom klassifisert i annet kapittel,CONDITION
12602,Reovirus som årsak til sykdom klassifisert i annet kapittel,CONDITION
12603,Parvovirus som årsak til sykdom klassifisert i annet kapittel,CONDITION
12604,Papillomavirus som årsak til sykdom klassifisert i annet kapittel,CONDITION
12605,Annet spesifisert virus som årsak til sykdom klassifisert i annet kapittel,CONDITION
12606,Andre spesifiserte infeksiøse mikroorganismer som årsak til sykdommer klassifisert i andre kapitler,CONDITION
12607,Helicobacter pylori som årsak til sykdom klassifisert i annet kapittel,CONDITION
12608,Vibrio vulnificus som årsak til sykdom klassifisert i annet kapittel,CONDITION
12609,Andre og uspesifiserte infeksjonssykdommer,CONDITION
12610,Ondartet svulst på leppe (neoplasma malignum labii),CONDITION
12611,Ondartet svulst på utside av overleppe,CONDITION
12612,Ondartet svulst på utside av underleppe,CONDITION
12613,"Ondartet svulst på utside av leppe, uspesifisert",CONDITION
12614,Ondartet svulst på innside av overleppe,CONDITION
12615,Ondartet svulst på innside av underleppe,CONDITION
12616,"Ondartet svulst på innside av leppe, uspesifisert",CONDITION
12617,Ondartet svulst i munnvik,CONDITION
12618,Overlappende ondartet svulst i leppe,CONDITION
12619,Ondartet svulst på uspesifisert del av leppe,CONDITION
12620,Ondartet svulst i tungerot (neoplasma malignum radicis linguae),CONDITION
12621,Ondartet svulst i andre og uspesifiserte deler av tunge (neoplasma malignum partis alterius et non specificatae linguae),CONDITION
12622,Ondartet svulst på fremre to tredjedeler av overside av tunge,CONDITION
12623,Ondartet svulst på tungerand,CONDITION
12624,Ondartet svulst på fremre to tredjedeler av underside av tunge,CONDITION
12625,Ondartet svulst i uspesifisert del av fremre to tredjedeler av tunge,CONDITION
12626,Ondartet svulst i tungemandel,CONDITION
12627,Overlappende ondartet svulst i tunge,CONDITION
12628,Ondartet svulst på uspesifisert del av tunge,CONDITION
12629,Ondartet svulst i tannkjøtt (neoplasma malignum gingivae),CONDITION
12630,Ondartet svulst i tannkjøtt i overkjeve,CONDITION
12631,Ondartet svulst i tannkjøtt i underkjeve,CONDITION
12632,Ondartet svulst med uspesifisert lokalisasjon i tannkjøtt,CONDITION
12633,Ondartet svulst i munngulv (neoplasma malignum basis cavi oris),CONDITION
12634,Ondartet svulst i fremre del av munngulv,CONDITION
12635,Ondartet svulst i laterale del av munngulv,CONDITION
12636,Overlappende ondartet svulst i munngulv,CONDITION
12637,Ondartet svulst i uspesifisert del av munngulv,CONDITION
12638,Ondartet svulst i gane (neoplasma malignum palati),CONDITION
12639,Ondartet svulst i hard gane,CONDITION
12640,Ondartet svulst i bløt gane,CONDITION
12641,Ondartet svulst i drøvel,CONDITION
12642,Overlappende ondartet svulst i gane,CONDITION
12643,Ondartet svulst med uspesifisert lokalisasjon i gane,CONDITION
12644,Ondartet svulst i andre og uspesifiserte deler av munn (neoplasma malignum partis alterius et non specificatae oris),CONDITION
12645,Ondartet svulst i kinnslimhinne,CONDITION
12646,Ondartet svulst i vestibulum oris,CONDITION
12647,Ondartet svulst i retromolært område,CONDITION
12648,Overlappende ondartet svulst i annen eller uspesifisert del av munn,CONDITION
12649,Ondartet svulst i uspesifisert del av munn,CONDITION
12650,Ondartet svulst i ørespyttkjertel (neoplasma malignum glandulae parotideae),CONDITION
12651,Ondartet svulst i andre og uspesifiserte store spyttkjertler (neoplasma malignum glandularum salivarium majorum aliarum et non specificatarum),CONDITION
12652,Ondartet svulst i submandibularspyttkjertel,CONDITION
12653,Ondartet svulst i sublingvalspyttkjertel,CONDITION
12654,Overlappende ondartet svulst i stor spyttkjertel,CONDITION
12655,Ondartet svulst i uspesifisert stor spyttkjertel,CONDITION
12656,Ondartet svulst i mandel (neoplasma malignum tonsillae),CONDITION
12657,Ondartet svulst i tonsilleseng,CONDITION
12658,Ondartet svulst i ganebue,CONDITION
12659,Overlappende ondartet svulst i tonsille,CONDITION
12660,Ondartet svulst med uspesifisert lokalisasjon i tonsille,CONDITION
12661,Ondartet svulst i oropharynx(neoplasma malignum oropharyngis),CONDITION
12662,Ondartet svulst i vallecula epiglottica,CONDITION
12663,Ondartet svulst på fremre overflate av strupelokk,CONDITION
12664,Ondartet svulst på sidevegg i oropharynx,CONDITION
12665,Ondartet svulst på bakvegg i oropharynx,CONDITION
12666,Ondartet svulst i gjellebuespalte,CONDITION
12667,Overlappende ondartet svulst i oropharynx,CONDITION
12668,Ondartet svulst i uspesifisert del av oropharynx.,CONDITION
12669,Ondartet svulst i nasopharynx(neoplasma malignum nasopharyngis),CONDITION
12670,Ondartet svulst på øvre vegg i nasopharynx,CONDITION
12671,Ondartet svulst på bakre vegg i nasopharynx,CONDITION
12672,Ondartet svulst på sidevegg i nasopharynx,CONDITION
12673,Ondartet svulst på fremre vegg i nasopharynx,CONDITION
12674,Overlappende ondartet svulst i nasopharynx,CONDITION
12675,Ondartet svulst i uspesifisert del av nasopharynx,CONDITION
12676,Ondartet svulst i sinus piriformis(neoplasma malignum recessus piriformis),CONDITION
12677,Ondartet svulst i hypopharynx(neoplasma malignum hypopharyngis),CONDITION
12678,Ondartet svulst i postkrikoidalt område,CONDITION
12679,Ondartet svulst på hypofaryngeal side av plica aryepiglottica,CONDITION
12680,Ondartet svulst på bakre vegg i hypopharynx,CONDITION
12681,Overlappende ondartet svulst i hypopharynx,CONDITION
12682,"Ondartet svulst i uspesifisert del av hypopharynx,",CONDITION
12683,"Ondartet svulst i andre og ufullstendig angitte lokalisasjoner i leppe, munnhule og svelg (neoplasma malignum loco alio et male definito labii, cavi oris et pharyngis)",CONDITION
12684,Ondartet svulst i uspesifisert del av svelg,CONDITION
12685,Ondartet svulst i Waldeyers ring,CONDITION
12686,"Overlappende ondartet svulst i leppe, munnhule eller svelg",CONDITION
12687,Ondartet svulst i spiserør (neoplasma malignum oesophagi),CONDITION
12688,Ondartet svulst i øvre tredjedel av spiserør,CONDITION
12689,Ondartet svulst i midtre tredjedel av spiserør,CONDITION
12690,Ondartet svulst i nedre tredjedel av spiserør,CONDITION
12691,Overlappende ondartet svulst i spiserør,CONDITION
12692,Ondartet svulst i uspesifisert del av spiserør,CONDITION
12693,Ondartet svulst i magesekk (neoplasma malignum ventriculi),CONDITION
12694,Ondartet svulst i cardia ventriculi,CONDITION
12695,Ondartet svulst i fundus ventriculi,CONDITION
12696,Ondartet svulst i corpus ventriculi,CONDITION
12697,Ondartet svulst i antrum pyloricum,CONDITION
12698,Ondartet svulst i pylorus,CONDITION
12699,Ondartet svulst i uspesifisert del av ventrikkelens curvatura minor,CONDITION
12700,Ondartet svulst i uspesifisert del av ventrikkelens curvatura major,CONDITION
12701,Overlappende ondartet svulst i magesekk,CONDITION
12702,Ondartet svulst i uspesifisert del av magesekk,CONDITION
12703,Ondartet svulst i tynntarm (neoplasma malignum intestini tenue),CONDITION
12704,Ondartet svulst i tolvfingertarm,CONDITION
12705,Ondartet svulst i jejunum,CONDITION
12706,Ondartet svulst i ileum,CONDITION
12707,Ondartet svulst i Meckels divertikkel,CONDITION
12708,Overlappende ondartet svulst i tynntarm,CONDITION
12709,Ondartet svulst i uspesifisert del av tynntarm,CONDITION
12710,Ondartet svulst i tykktarm (neoplasma malignum coli),CONDITION
12711,Ondartet svulst i blindtarm (coecum),CONDITION
12712,Ondartet svulst i blindtarmsvedheng,CONDITION
12713,Ondartet svulst i colon ascendens,CONDITION
12714,Ondartet svulst i colons leverfleksur,CONDITION
12715,Ondartet svulst i colon transversum,CONDITION
12716,Ondartet svulst i colons miltfleksur,CONDITION
12717,Ondartet svulst i colon descendens,CONDITION
12718,Ondartet svulst i sigmoideum,CONDITION
12719,Overlappende ondartet svulst i tykktarm,CONDITION
12720,Ondartet svulst i uspesifisert del av tykktarm,CONDITION
12721,Ondartet svulst i overgang mellom sigmoideum og endetarm (neoplasma malignum junctionis rectosigmoidalis),CONDITION
12722,Ondartet svulst i endetarm (neoplasma malignum recti),CONDITION
12723,Ondartet svulst i endetarmsåpning og analkanal (neoplasma malignum ani et canalis analis),CONDITION
12724,Ondartet svulst i uspesifisert del av endetarmsåpning,CONDITION
12725,Ondartet svulst i analkanal,CONDITION
12726,Ondartet svulst i kloakkogen sone,CONDITION
12727,"Overlappende ondartet svulst i rektum, anus eller analkanal",CONDITION
12728,Ondartet svulst i lever og intrahepatiske galleganger (neoplasma malignum hepatis et ductulorum biliferorum intrahepaticorum),CONDITION
12729,Levercellekarsinom,CONDITION
12730,Karsinom i intrahepatisk gallegang,CONDITION
12731,Angiosarkom i lever,CONDITION
12732,Annet sarkom i lever,CONDITION
12733,Annet karsinom i lever,CONDITION
12734,Ondartet svulst av uspesifisert type i lever,CONDITION
12735,Ondartet svulst i galleblære (neoplasma malignum vesicae felleae),CONDITION
12736,Ondartet svulst i andre og uspesifiserte deler av galleveier (neoplasma malignum partium aliarum et non specificatarum viarum biliarium),CONDITION
12737,Ondartet svulst i ekstrahepatisk gallegang,CONDITION
12738,Ondartet svulst i Vaters ampulle,CONDITION
12739,Overlappende ondartet svulst i galleveier,CONDITION
12740,Ondartet svulst i uspesifisert del av galleveier,CONDITION
12741,Ondartet svulst i bukspyttkjertel (neoplasma malignum pancreatis),CONDITION
12742,Ondartet svulst i bukspyttkjertelhode,CONDITION
12743,Ondartet svulst i bukspyttkjertelkropp,CONDITION
12744,Ondartet svulst i bukspyttkjertelhale,CONDITION
12745,Ondartet svulst i bukspyttkjertels utførselsgang,CONDITION
12746,Ondartet svulst i endokrin bukspyttkjertel,CONDITION
12747,Ondartet svulst i annen spesifisert del av bukspyttkjertel,CONDITION
12748,Overlappende ondartet svulst i bukspyttkjertel,CONDITION
12749,Ondartet svulst i uspesifisert del av bukspyttkjertel,CONDITION
12750,Ondartet svulst i andre og ufullstendig angitte fordøyelsesorganer (neoplasma malignum organorum digestionis loco alio et male definito),CONDITION
12751,Ondartet svulst i uspesifisert del av tarmkanal,CONDITION
12752,Ondartet svulst i milt,CONDITION
12753,Overlappende ondartet svulst i fordøyelsessystemet,CONDITION
12754,Ondartet svulst med ufullstendig angitt lokalisasjon i fordøyelsessystemet,CONDITION
12755,"Ondartet svulst i nesehule, mellomøre og indre øre (neoplasma malignum cavi nasi et auris mediae et interna)",CONDITION
12756,Ondartet svulst i nesehule,CONDITION
12757,Ondartet svulst i mellomøre eller indre øre,CONDITION
12758,Ondartet svulst i bihuler (neoplasma malignum sinuum paranasalium),CONDITION
12759,Ondartet svulst i maksillarsinus,CONDITION
12760,Ondartet svulst i ethmoidalsinus,CONDITION
12761,Ondartet svulst i frontalsinus,CONDITION
12762,Ondartet svulst i sfenoidalsinus,CONDITION
12763,Overlappende ondartet svulst i bihule,CONDITION
12764,Ondartet svulst i uspesifisert bihule,CONDITION
12765,Ondartet svulst i strupe (neoplasma malignum laryngis),CONDITION
12766,Ondartet svulst i glottis,CONDITION
12767,Ondartet svulst i supraglottiske del av strupe,CONDITION
12768,Ondartet svulst i subglottiske del av strupe,CONDITION
12769,Ondartet svulst i strupebrusk,CONDITION
12770,Overlappende ondartet svulst i strupe,CONDITION
12771,Ondartet svulst i uspesifisert del av strupe,CONDITION
12772,Ondartet svulst i luftrør (neoplasma malignum tracheae),CONDITION
12773,Ondartet svulst i bronkie og lunge (neoplasma malignum bronchi et pulmonis),CONDITION
12774,Ondartet svulst i hovedbronkie,CONDITION
12775,Ondartet svulst i lungeoverlappens bronkie- eller lungevev,CONDITION
12776,Ondartet svulst i lungemidtlappens bronkie- eller lungevev,CONDITION
12777,Ondartet svulst i lungeunderlappens bronkie- eller lungevev,CONDITION
12778,Overlappende ondartet svulst i bronkie eller lunge,CONDITION
12779,Ondartet svulst i uspesifisert del av bronkie eller lunge,CONDITION
12780,Ondartet svulst i thymus(neoplasma malignum thymi),CONDITION
12781,"Ondartet svulst i hjerte, mediastinum og brysthinne (neoplasma malignum cordis, mediastini et pleurae)",CONDITION
12782,Ondartet svulst i hjerte,CONDITION
12783,Ondartet svulst i fremre mediastinum,CONDITION
12784,Ondartet svulst i bakre mediastinum,CONDITION
12785,Ondartet svulst i uspesifisert del av mediastinum,CONDITION
12786,Ondartet svulst i brysthinne,CONDITION
12787,"Overlappende ondartet svulst i hjerte, mediastinum eller brysthinne",CONDITION
12788,Ondartet svulst med annen og ufullstendig angitt lokalisasjon i åndedrettsorganer og intratorakale organer (neoplasma malignum systematis respiratorii et organorum intrathoracalium loco alio et male definito),CONDITION
12789,Ondartet svulst i uspesifisert del av øvre luftveier,CONDITION
